ime,wav,Int
e6D,7894.58,0.0270964277011345
e6D,7969.02,0.0494428670484205
e6D,7970.42,0.112714839449393
e6D,7981.899999999999,0.2092751145975672
z4F,6233.53,0.1334720731487302
z4F,6371.13,0.0291755126074098
z4F,6442.96,0.1368788927034841
z4F,6506.33,0.0770299372147616
z4F,6508.13,0.0129886393180894
z4F,6581.26,0.0069774836450582
z4F,6596.45,0.0064041188997452
z4F,6598.3,0.03181529105698
z4F,6623.07,0.0108465930887887
z4D,6248.9,0.1983348057060729
z4D,6317.98,1.0
z4D,6383.72,0.4949806914530955
z4D,6385.45,0.2225871197373464
z4D,6455.84,0.1030093085394129
z4D,6491.25,0.1421754777959258
z4D,6493.04,0.2337385728679157
z4D,6517.02,0.1539806890575219
z4D,6562.2,0.1171995913616197
z4D,6586.7,0.1450806840613083
z4D,7711.439999999999,0.0502220361207069
z4D,7866.55,0.0360421454337557
z4D,7917.8,0.0101973128642853
z4D,7975.899999999999,0.0113895480523576
z4P,7417.55,0.0762248071441434
z4P,7515.09,1.0
z4P,7657.5,0.5762573783127678
z4P,7659.99,0.164610602573082
z4P,7693.39,0.0173882203759316
z4P,7801.24,0.2326223441358633
z4P,7835.88,0.174348275919779
a4G,5197.58,0.5169802779862068
a4G,5234.63,0.585233944711798
a4G,5254.93,0.0384845535387477
a4G,5264.81,0.0418860533125242
a4G,5276.0,0.7716801476058539
a4G,5316.62,1.0
a4G,5316.78,0.0808112544618077
a4G,5325.55,0.1641565523152988
a4G,5337.73,0.0082860598984786
a4G,5362.87,0.1219909602855281
a4G,5414.07,0.010542600790226
a4G,5425.26,0.0290834132457422
a4G,5932.06,0.0009906920751141
a4G,5991.38,0.0186028518992413
a4G,6084.11,0.0097934942398542
a4G,6113.32,0.0042518111585205
a4G,6116.06,0.0012344790604922
a4G,6129.7,0.001384314459941
a4G,6150.1,0.0010724912578834
a4H,4278.159,0.4483330312406361
a4H,4314.31,1.0
a4H,4332.881,0.0548256280390822
a4H,4338.703,0.2332551803368659
a4H,4372.222,0.1252820891077823
a4H,4384.319,0.974055368818071
a4H,4413.601,0.407295511224266
a4H,4825.736,0.0473456628028814
a4H,4833.197,0.0517544409239701
a4H,4839.998,0.0384366481315781
b2H,5432.97,0.1961777641932635
b2H,5525.13,0.0204097421610778
b2H,5534.85,1.0
b2H,5591.37,0.0170896454113317
b2H,6269.97,0.0188157972594719
b4D,6147.74,0.2380609404892945
b4D,6149.26,0.2362468554749552
b4D,6238.39,0.2906526368823246
b4D,6239.95,0.0450866975477583
b4D,6247.56,0.5787093613740774
b4D,6407.25,0.0243193440487075
b4D,6416.92,0.2202862708344634
b4D,6456.38,1.0
b4D,7181.23,0.0114325232459756
b4D,7222.39,0.0554499951364514
b4D,7224.49,0.062448608259435
b4D,7289.05,0.0219197710550422
b4D,7301.56,0.0032662113144637
b4D,7308.069999999999,0.1039131741774808
b4D,7310.22,0.0472375523994481
b4D,7320.649999999999,0.0652273395933536
b4D,7352.7,0.0012773015998443
b4D,7449.34,0.052110617663399
b4D,7462.41,0.1943756161821452
b4D,7479.689999999999,0.0271370101874329
b4D,7515.83,0.038137142100742
b4D,7533.37,0.0104771784058049
b4D,7655.49,0.0288045707687994
b4D,7711.72,0.2870296513150622
b4D,7841.39,0.0186891364347956
b4F,4088.76,0.0008255661101124
b4F,4138.41,0.0018558756038176
b4F,4472.93,0.0204439738771881
b4F,4489.18,0.060110544467089
b4F,4491.41,0.1084410506659237
b4F,4508.29,0.3353603804187241
b4F,4515.34,0.1825494135821239
b4F,4520.22,0.1446562664142457
b4F,4522.63,0.5146463213133311
b4F,4534.17,0.0184483804446799
b4F,4541.52,0.0485376099925113
b4F,4549.47,1.0
b4F,4555.89,0.2884671530693939
b4F,4576.34,0.0503880610326435
b4F,4582.84,0.0438946742532951
b4F,4583.84,0.5511824630098145
b4F,4595.68,0.003033247637983
b4F,4620.52,0.029574049186765
b4F,4629.34,0.2464983227149536
b4F,4648.24,0.0007749008544283
b4F,4666.76,0.0263830312436454
b4F,4833.87,0.0006040951892254
b4F,4893.82,0.0020032161721071
b4F,4924.92,0.0009855210402191
b4F,4993.36,0.0129273375420796
b4F,5036.92,0.001699024834763
b4F,5100.66,0.0024577670750103
b4F,5120.35,0.0034278922691128
b4F,5132.67,0.0038001078305023
b4F,5136.8,0.0017832004258341
b4F,5146.13,0.0068477805561335
b4F,5150.94,0.0019162083056267
b4F,5154.41,0.0040203641598362
b4F,5161.18,0.0017851799505766
b4F,5171.64,0.0024394656064358
b4F,6229.35,0.0007704084574395
b4F,6239.37,0.001525303640152
b4P,4002.08,0.026142716641363
b4P,4087.28,0.0019190519208596
b4P,4122.67,0.0412030266464242
b4P,4128.75,0.016797271837672
b4P,4173.46,0.6567604856209504
b4P,4178.86,0.3293486933082612
b4P,4233.17,1.0
b4P,4258.15,0.0346491216508337
b4P,4273.33,0.0481128454415178
b4P,4296.57,0.085329551747648
b4P,4303.18,0.2827007523093246
b4P,4351.77,0.6964629087375989
b4P,4369.41,0.0172221142019728
b4P,4385.39,0.2170381349159771
b4P,4386.59,0.0011537212487677
b4P,4416.83,0.2029379730525631
b4P,4461.44,0.007815522229357
b4P,4580.06,0.0192348163957354
b4P,4584.0,0.0053919632701207
b4P,4648.94,0.0041734636204293
b4P,4665.81,0.0010751301836654
b4P,4670.18,0.0081250306935648
b4P,4713.19,0.000954592882226
b4P,4855.55,0.0047753532948495
b4P,4871.28,0.0077799546458287
b4P,4991.13,0.0035174503968337
b4P,5000.74,0.0014815457813277
a6S,4593.83,8.871831030856658e-05
a6S,4601.38,0.0002781415027377
a6S,4656.98,0.0017502848584403
a6S,4663.71,0.0004054716342847
a6S,4731.45,0.0032624236178955
a6S,4923.93,0.3574105612369664
a6S,5018.44,0.4490311285882308
a6S,5169.03,1.0
a6S,5256.94,0.000414917133572
a6S,5284.11,0.004760093516099
