line,position
[O II],3726.032
[O II],3728.815
[Ne III],3868.760
Cr II 194,4003.328107
Ni II 12,4015.504925
Ti II 87,4053.814908
Cr II 19,4063.942258
[S II] 1F,4068.621034
[S II] 1F,4076.219045
N III,4097.33
NIII,4103.43
Ti II 105,4163.63614
Ti II 19,4395.025307
O II,4414.899
Ti II 93,4421.948211
Ti II 19,4443.802449
Ti II 19,4450.490685
NIII1,4510.91
Cr II 44,4616.636803
N III,4640.64
N II 5,4643.089806
C III,4647.42
C III,4650.25
C III,4651.47
Cr II,4697.595379
Cr II 30,4824.131846
Cr II 30,4876.477958
Ti II 114,4911.19874
Ti II 113,5072.275931
[N I],5200.261862
C III,5695.920
Si II,5957.56
OIb,6046.440
S II,6288.0859
[S III],6312.06
Si II,6347.10
Si II,6371.36
[Ni II],7377.83
[Ni II],7411.16
[Ni III],7889.9
[S III],9068.6
[S III],9531.00




