line,position
[FeII]23F,4114.469029
[FeII]21F,4146.650594
[FeII]21F,4177.21
[FeII]23F,4178.96
[FeII]21F,4231.56
[FeII]21F,4243.975051
[FeII]21F,4244.81483
[FeII]23F,4251.44
[FeII]21F,4276.83
[FeII]7F,4287.393639
[FeII]21F,4305.89
[FeII]21F,4319.615163
[FeII]21F,4346.847995
[FeII]21F,4352.776435
[FeII]21F,4358.354966
[FeII]7F,4359.344705
[FeII]21F,4372.431259
[FeII]6F,4382.738544
[FeII]7F,4413.780364
[FeII]6F,4416.269708
[FeII]6F,4432.445443
[FeII]7F,4452.11
[FeII]6F,4457.94
[FeII]7F,4474.904244
[FeII]6F,4488.75059
[FeII]6F,4492.629566
[FeII]6F,4528.380127
[FeII]4F,4639.67071
[FeII]4F,4664.444155
[FeII]4F,4728.07
[FeII]20F,4774.724946
[FeII]4F,4798.27
[FeII]20F,4814.534392
[FeII]20F,4874.48
[FeII]4F,4889.624468
[FeII],4898.612082
[FeII]20F,4905.340296
[FeII]20F,4947.37
[FeII]20F,4950.74
[FeII]20F,4973.392221
[FeII]20F,5005.513684
[FeII]20F,5020.229772
[FeII]20F,5043.523578
[FeII],5060.079175
[FeII]19F,5072.39
[FeII]18F,5107.936443
[FeII]19F,5111.63
[FeII]18F,5158.003116
[FeII]19F,5158.78
[FeII]18F,5181.94674
[FeII]19F,5184.795981
[FeII]19F,5220.056588
[FeII]19F,5261.615514
[FeII]18F,5268.87
[FeII]18F,5273.352386
[FeII]19F,5296.826128
[FeII]19F,5333.646309
[FeII]18F,5347.65
[FeII]19F,5376.45489
[FeII]17F,5412.65
[FeII]18F,5433.13
[FeII]34F,5477.237988
[FeII]17F,5495.82
[FeII]17F,5527.34
[FeII]34F,5527.61
[FeII]18F,5556.29
[FeII]34F,5746.97
[FeII]14F,7155.16
[FeII]14F,7172.00

