line,position
[OII],3726.032
[OII],3728.815
[NeIII],3868.760
CrII194,4003.328107
NiII12,4015.504925
TiII87,4053.814908
CrII19,4063.942258
[SII]1F,4068.621034
[SII]1F,4076.219045
NIII,4097.33
NIII,4103.43
TiII105,4163.63614
TiII19,4395.025307
OII,4414.899
TiII93,4421.948211
TiII19,4443.802449
TiII19,4450.490685
NIII1,4510.91
CrII44,4616.636803
NIII,4640.64
NII5,4643.09
CIII,4647.42
CIII,4650.25
CIII,4651.47
CrII,4697.595379
CrII30,4824.131846
CrII30,4876.477958
TiII114,4911.19874
TiII113,5072.275931
[NI],5200.261862
[NII],5754.590
NII,5666.64
NII,5676.02
NII,5679.56
NII,5686.21
CIII,5695.920
SiII,5957.56
OIb,6046.440
SII,6288.0859
[SIII],6312.06
SiII,6347.10
SiII,6371.36
[NiII],7377.83
[NiII],7411.16
[NiIII],7889.9
[SIII],9068.6
[SIII],9531.00




